"id_ap_3","n_total","total_duration_sec","mean","median","date"
1,219915,53878313,245,189,"All"
9,135561,35000344,258,129,"All"
16,33094,9292421,281,179,"All"
20,145087,30122461,208,158,"All"
21,60376,6549790,108,71,"All"
22,81896,10475976,128,88,"All"
24,42108,9617180,228,161,"All"
26,19263,4514399,234,216,"All"
28,31340,8629254,275,191,"All"
29,64014,15343996,240,227,"All"
30,97437,28540313,293,232,"All"
31,66228,10460295,158,111,"All"
32,98976,48495505,490,359,"All"
33,29035,10577516,364,311,"All"
34,41983,15505218,369,337,"All"
35,124399,38352296,308,273,"All"
36,109452,38027030,347,316,"All"
37,43545,18131584,416,348,"All"
38,55503,12677118,228,191,"All"
39,31640,11316830,358,307,"All"
40,14340,3770405,263,242,"All"
42,73000,17719120,243,208,"All"
43,25103,8122665,324,287,"All"
44,21185,7234648,341,314,"All"
45,48646,17058149,351,334,"All"
46,31219,7696515,247,206,"All"
47,93939,30476378,324,303,"All"
48,48072,9981936,208,166,"All"
49,32718,5961469,182,119,"All"
50,65208,23789656,365,317,"All"
51,92313,47337028,513,405,"All"
53,8467,3870046,457,369,"All"
55,7907,2705387,342,300,"All"
56,30638,8519758,278,259,"All"
57,35111,13469461,384,318,"All"
58,27921,6854166,245,135,"All"
59,6815,1440132,211,110,"All"
72,8020,4139855,516,285,"All"
80,36159,12895718,357,239,"All"
81,10785,4265545,396,305,"All"
88,24822,14902989,600,338,"All"
96,91381,29681846,325,263,"All"
